,callDateTime,priority,district,description,callNumber,incidentLocation,location
203,7/13/2015 11:53,Medium,SE,911/NO  VOICE,P151941192,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
204,7/13/2015 11:54,Low,ED,WANTED ON WARR,P151941193,1400 E NORTH AV,"(39.3123832,-76.5987197)"
205,7/13/2015 11:39,Low,CD,INTOXICATED PERS,P151941194,GUILFORD AV/E MADISON ST,"(39.298763,-76.611584)"
206,7/13/2015 11:54,Low,ED,WANTED ON WARR,P151941195,1400 E NORTH AV,"(39.3123832,-76.5987197)"
207,7/13/2015 11:55,High,NE,Traffic Stop,P151941196,3100 CHESTERFIELD AV,"(39.3238650,-76.5681070)"
208,7/13/2015 11:55,High,SE,AUTO ACC/INJURY,P151941197,S BROADWAY/E LOMBARD ST,"(39.290367,-76.593878)"
209,7/13/2015 11:52,Medium,SE,911/NO  VOICE,P151941198,700 S EXETER ST,"(39.2832526,-76.6001808)"
210,7/13/2015 11:46,Medium,ED,DISORDERLY,P151941199,600 FALLSWAY,"(39.2962616,-76.6099423)"
211,7/13/2015 11:53,Low,CD,DISABLED VEH,P151941200,EUTAW PL/W NORTH AV,"(39.310329,-76.633904)"
212,7/13/2015 19:33,Medium,SW,DISORDERLY,P151942849,1700 MONTEREY ST,"(39.2703957,-76.6515146)"
213,7/13/2015 19:34,Medium,SW,DISORDERLY,P151942850,400 N HILTON ST,"(39.2919240,-76.6729510)"
214,7/13/2015 19:34,Medium,NW,DISORDERLY,P151942851,5000 DENMORE AV,"(39.3465640,-76.6752430)"
215,7/13/2015 19:35,Medium,SW,911/NO  VOICE,P151942852,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
